SKU,DateKey,CustomerKey,ShippingKey,SupplierKey,InspectionKey,ProductsSold,RevenueGenerated,StockLevels,OrderQuantities,LeadTimes,ShippingTimes,ShippingCosts,ManufacturingLeadtime,ManufacturingCosts,DefectRates,ProductionVolumes,Costs,TransactionDate,PlannedShipDate,ActualShipDate,DeliveryStatus,UnitSalesPrice,UnitCOGS,UnfulfilledQty,StockoutFlag ,StockoutRate_PCT,StockoutRiskLevel,ForecastedSales,ActualSales,ForecastAccuracy
SKU0,1,1,1,1,1,23,248.41,29,90,7,4,2.96,29,46.28,0.23,215,187.75,1/1/2021 0:00,1/28/2021 0:00,1/2/2021 0:00,Early,11.51,40.19,61,1,67.78,High,90,23,0.26
SKU0,32,1,1,1,1,15,162.01,103,40,7,4,2.96,29,46.28,0.23,215,187.75,2/1/2021 0:00,2/28/2021 0:00,2/2/2021 0:00,Early,11.51,14.02,0,0,0.00,No Risk,40,15,0.38
SKU0,60,1,1,1,1,21,226.81,121,62,7,4,2.96,29,46.28,0.23,215,187.75,3/1/2021 0:00,3/28/2021 0:00,3/2/2021 0:00,Early,11.51,6.77,0,0,0.00,No Risk,62,21,0.34
SKU0,91,1,1,1,1,25,270.01,133,43,7,4,2.96,29,46.28,0.23,215,187.75,4/1/2021 0:00,4/28/2021 0:00,4/2/2021 0:00,Early,11.51,10.96,0,0,0.00,No Risk,43,25,0.58
SKU0,121,1,1,1,1,15,162.01,33,47,7,4,2.96,29,46.28,0.23,215,187.75,5/1/2021 0:00,5/28/2021 0:00,5/2/2021 0:00,Early,11.51,8.87,14,1,29.79,Medium,47,15,0.32
SKU0,152,1,1,1,1,17,183.61,55,66,7,4,2.96,29,46.28,0.23,215,187.75,6/1/2021 0:00,6/28/2021 0:00,6/2/2021 0:00,Early,11.51,7.63,11,1,16.67,Low,66,17,0.26
SKU0,182,1,1,1,1,19,205.21,24,13,7,4,2.96,29,46.28,0.23,215,187.75,7/1/2021 0:00,7/28/2021 0:00,7/2/2021 0:00,Early,11.51,35.46,0,0,0.00,No Risk,13,19,0.54
SKU0,213,1,1,1,1,21,226.81,114,11,7,4,2.96,29,46.28,0.23,215,187.75,8/1/2021 0:00,8/28/2021 0:00,8/2/2021 0:00,Early,11.51,18.27,0,0,0.00,No Risk,11,21,0.09
SKU0,244,1,1,1,1,17,183.61,12,21,7,4,2.96,29,46.28,0.23,215,187.75,9/1/2021 0:00,9/28/2021 0:00,9/2/2021 0:00,Early,11.51,7.93,9,1,42.86,Medium,21,17,0.81
SKU0,274,1,1,1,1,19,205.21,62,44,7,4,2.96,29,46.28,0.23,215,187.75,10/1/2021 0:00,10/28/2021 0:00,10/2/2021 0:00,Early,11.51,46.38,0,0,0.00,No Risk,44,19,0.43
SKU0,305,1,1,1,1,16,172.81,101,79,7,4,2.96,29,46.28,0.23,215,187.75,11/1/2021 0:00,11/28/2021 0:00,11/2/2021 0:00,Early,11.51,60.29,0,0,0.00,No Risk,79,16,0.20
SKU0,335,1,1,1,1,21,226.81,121,81,7,4,2.96,29,46.28,0.23,215,187.75,12/1/2021 0:00,12/28/2021 0:00,12/2/2021 0:00,Early,11.51,14.02,0,0,0.00,No Risk,81,21,0.26
SKU0,366,1,1,1,1,21,226.81,119,30,7,4,2.96,29,46.28,0.23,215,187.75,1/1/2022 0:00,1/28/2022 0:00,1/2/2022 0:00,Early,11.51,33.49,0,0,0.00,No Risk,30,21,0.70
SKU0,397,1,1,1,1,17,183.61,132,70,7,4,2.96,29,46.28,0.23,215,187.75,2/1/2022 0:00,2/28/2022 0:00,2/2/2022 0:00,Early,11.51,8.37,0,0,0.00,No Risk,70,17,0.24
SKU0,425,1,1,1,1,22,237.61,10,44,7,4,2.96,29,46.28,0.23,215,187.75,3/1/2022 0:00,3/28/2022 0:00,3/2/2022 0:00,Early,11.51,7.09,34,1,77.27,Critical,44,22,0.50
SKU0,456,1,1,1,1,14,151.21,108,57,7,4,2.96,29,46.28,0.23,215,187.75,4/1/2022 0:00,4/28/2022 0:00,4/2/2022 0:00,Early,11.51,31.73,0,0,0.00,No Risk,57,14,0.25
SKU0,486,1,1,1,1,17,183.61,103,24,7,4,2.96,29,46.28,0.23,215,187.75,5/1/2022 0:00,5/28/2022 0:00,5/2/2022 0:00,Early,11.51,31.73,0,0,0.00,No Risk,24,17,0.71
SKU0,517,1,1,1,1,17,183.61,110,80,7,4,2.96,29,46.28,0.23,215,187.75,6/1/2022 0:00,6/28/2022 0:00,6/2/2022 0:00,Early,11.51,10.22,0,0,0.00,No Risk,80,17,0.21
SKU0,547,1,1,1,1,21,226.81,68,24,7,4,2.96,29,46.28,0.23,215,187.75,7/1/2022 0:00,7/28/2022 0:00,7/2/2022 0:00,Early,11.51,11.38,0,0,0.00,No Risk,24,21,0.88
SKU0,578,1,1,1,1,21,226.81,101,15,7,4,2.96,29,46.28,0.23,215,187.75,8/1/2022 0:00,8/28/2022 0:00,8/2/2022 0:00,Early,11.51,10.58,0,0,0.00,No Risk,15,21,0.60
SKU0,609,1,1,1,1,13,140.41,1,90,7,4,2.96,29,46.28,0.23,215,187.75,9/1/2022 0:00,9/28/2022 0:00,9/2/2022 0:00,Early,11.51,6.28,89,1,98.89,Critical,90,13,0.14
SKU0,639,1,1,1,1,18,194.41,36,77,7,4,2.96,29,46.28,0.23,215,187.75,10/1/2022 0:00,10/28/2022 0:00,10/2/2022 0:00,Early,11.51,40.19,41,1,53.25,High,77,18,0.23
SKU0,670,1,1,1,1,25,270.01,117,31,7,4,2.96,29,46.28,0.23,215,187.75,11/1/2022 0:00,11/28/2022 0:00,11/2/2022 0:00,Early,11.51,6.22,0,0,0.00,No Risk,31,25,0.81
SKU0,700,1,1,1,1,17,183.61,48,41,7,4,2.96,29,46.28,0.23,215,187.75,12/1/2022 0:00,12/28/2022 0:00,12/2/2022 0:00,Early,11.51,18.27,0,0,0.00,No Risk,41,17,0.41
SKU0,731,1,1,1,1,24,259.21,74,31,7,4,2.96,29,46.28,0.23,215,187.75,1/1/2023 0:00,1/28/2023 0:00,1/2/2023 0:00,Early,11.51,6.41,0,0,0.00,No Risk,31,24,0.77
SKU0,762,1,1,1,1,23,248.41,74,36,7,4,2.96,29,46.28,0.23,215,187.75,2/1/2023 0:00,2/28/2023 0:00,2/2/2023 0:00,Early,11.51,9,0,0,0.00,No Risk,36,23,0.64
